ELSEY, EDWARD 20 EEDWARD_1?@UNA.EDU 7

BROWN, THOMAS 18 TBROWN@UNA.EDU 11

LOEPPKY, ISSAC 8 ILEOPPKY@UNA.EDU 5

JONES, KELLY 19 KJONES@UNA.EDU 4

WEIMANN, TAYLOR 6 TWEIMANN@UNA.EDU 7

GIDDORD, GEORGE 14 GGIDDORD@UNA.EDU 9

CAI, TELLMAN 17 TCIA@UNA.EDU 5

MCCULLOUGH, DENIS 4 DMCULLOUGH@UNA.EDU 7

LAY, JONES 13 JLAY_1234@UNA.EDU  5

ROBERT, MARROWN 12 MROBERT%3@UNA.EDU 9

HUFF, GARRY 16 GHUFF@UNA.EDU 6

FROST, FLOYD 5 FFROST@UNA.EDU 9

	O'NEAL, PATRICK 11 PO'NEAL@UNA.EDU 8

VALENTINE, ROBBY  7 RVALENTINE@UNA.EDU 8

MCCOY, SUMMER 7 SMCCOY@UNA.EDU 5

WOODOFORD, MOLLY 10 MWOODFORD@UNA.EDU 6

FLORES, MICHAEL 3 MFLORES@UNA.EDU 6

ARCU, VALLY 9 VARCU@UNA.EDU 5

MOYER, YELLOW 15 YMOYER@UNA.EDU 7

