ELSEY, EDWARD 20 EDWARD@UNA.EDU 7
BROWN, THOMAS 18 THOMAS@UNA.EDU 11
LOEPPKY, ISSAC 8 LEOP@UNA.EDU 5
JONES, KELLY 19 JONES@UNA.EDU 4
WEIMANN, TAYLOR 6  MANN@UNA.EDU 7
GIDDORD, GEORGE 14 GEORGE@UNA.EDU 9
CAI, TELLMAN 17 TELL@UNA.EDU 5
MCCULLOUGH, DENIS 4  DMCA@UNA.EDU 7
LAY, JONES 13 JLAY@UNA.EDU  5
ROBERT, MARROWN 12 MOB@UNA.EDU 9
HUFF, GARRY 16 HUFF@UNA.EDU 6
FROST, FLOYD 5 FROST@UNA.EDU 9
	NEAL, PAT 4 PATNEAL@UNA.EDU 8
VALENTINE, ROBBY  7 VALENTINE@UNA.EDU 8
MCCOY, SUMMER 7 SCOY@UNA.EDU 5
WOODOFORD, MOLLY 10 WOODFORD@UNA.EDU 6
FLORES, MICHAEL 3 FLORES@UNA.EDU 6
ARCU, VALLY 9  ARCU@UNA.EDU 5
MOYER, YELLOW 15  MOYER@UNA.EDU 7
