ELSEY, EDWARD 10 EEDWARD_1?@UNA.EDU 7
BROWN, THOMAS 8 TBROWN@UNA.EDU 11
LOEPPKY, ISSAC 5 ILEOPPKY@UNA.EDU 5
JONES, KELLY 9 KJONES@UNA.EDU 4
WEIMANN, TAYLOR 4 TWEIMANN@UNA.EDU 3
GIDDORD, GEORGE 7 GGIDDORD@UNA.EDU 9
CAI, TELLMAN 8 TCIA@UNA.EDU 5
MCCULLOUGH, DENIS 3 DMCULLOUGH@UNA.EDU 4

LAY, JONES 7 JLAY_1234@UNA.EDU  5
ROBERT, MARROWN 7 MROBERT%3@UNA.EDU 3
HUFF, GARRY 8 GHUFF@UNA.EDU 6
FROST, FLOYD 4 FFROST@UNA.EDU
	O'NEAL, PATRICK 7 PO'NEAL@UNA.EDU 8
VALENTINE, ROBBY  7 RVALENTINE@UNA.EDU 3
MCCOY, SUMMER 5 SMCCOY@UNA.EDU 5
WOODOFORD, MOLLY 7 MWOODFORD@UNA.EDU 6
FLORES, MICHAEL 3 MFLORES@UNA.EDU 4
ARCU, VALLY 6 VARCU@UNA.EDU 5
MOYER, YELLOW 8 YMOYER@UNA.EDU 7

